accession,syn_id,mibig_reference,product,type,sid_type,tonb_num,pb_num,family,genus,species,genome_tonb,genome_pb
GCF_014168955.1,GCF_014168955.1|NZ_AP022032.1|r1c4|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,17,9
GCF_014117345.2,GCF_014117345.2|NZ_CP059840.2|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,6
GCF_016026375.1,GCF_016026375.1|NZ_CP065624.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_016728085.1,GCF_016728085.1|NZ_CP068155.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014854635.1,GCF_014854635.1|NZ_CP062211.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014854635.1,GCF_014854635.1|NZ_CP062212.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014168675.1,GCF_014168675.1|NZ_AP021933.1|r1c2|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,13,6
GCF_014168675.1,GCF_014168675.1|NZ_AP021933.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,13,6
GCF_014168675.1,GCF_014168675.1|NZ_AP021934.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,13,6
GCF_014169155.1,GCF_014169155.1|NZ_AP022095.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014169155.1,GCF_014169155.1|NZ_AP022096.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014169775.1,GCF_014169775.1|NZ_AP022261.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,11,7
GCF_014656625.1,GCF_014656625.1|NZ_CP061339.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_014656605.1,GCF_014656605.1|NZ_CP061337.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_013371685.1,GCF_013371685.1|NZ_CP055251.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_013371685.1,GCF_013371685.1|NZ_CP055255.1|r5c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014169195.1,GCF_014169195.1|NZ_AP022105.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014169195.1,GCF_014169195.1|NZ_AP022105.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014169195.1,GCF_014169195.1|NZ_AP022106.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014170975.1,GCF_014170975.1|NZ_CP059947.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_014170975.1,GCF_014170975.1|NZ_CP059947.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_014170975.1,GCF_014170975.1|NZ_CP059948.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_013459015.1,GCF_013459015.1|NZ_CP053851.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,12,6
GCF_013376895.1,GCF_013376895.1|NZ_CP038859.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_013374335.1,GCF_013374335.1|NZ_AP023237.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013374335.1,GCF_013374335.1|NZ_AP023237.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014962565.1,GCF_014962565.1|NZ_CP063153.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_013426115.1,GCF_013426115.1|NZ_CP058661.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,13,4
GCF_013426115.1,GCF_013426115.1|NZ_CP058663.1|r4c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,13,4
GCF_013374255.1,GCF_013374255.1|NZ_AP023224.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_013374255.1,GCF_013374255.1|NZ_AP023224.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_016432805.1,GCF_016432805.1|NZ_CP061108.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_016432805.1,GCF_016432805.1|NZ_CP061108.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_016432805.1,GCF_016432805.1|NZ_CP061109.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,5
GCF_013374235.2,GCF_013374235.2|NZ_AP023219.2|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013374235.2,GCF_013374235.2|NZ_AP023219.2|r1c3|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014295295.1,GCF_014295295.1|NZ_CP060065.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,5
GCF_014076685.2,GCF_014076685.2|NZ_CP063369.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_013376575.1,GCF_013376575.1|NZ_CP049967.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,5
GCF_014605875.1,GCF_014605875.1|NZ_CP061329.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014338525.1,GCF_014338525.1|NZ_CP060709.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_013374295.2,GCF_013374295.2|NZ_AP023230.2|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013374295.2,GCF_013374295.2|NZ_AP023230.2|r1c4|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013374275.1,GCF_013374275.1|NZ_AP023226.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_013374275.1,GCF_013374275.1|NZ_AP023228.1|r3c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_014169595.1,GCF_014169595.1|NZ_AP022215.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_015843075.1,GCF_015843075.1|NZ_CP058342.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_015843075.1,GCF_015843075.1|NZ_CP058342.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_015843075.1,GCF_015843075.1|NZ_CP058343.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_014075335.1,GCF_014075335.1|NZ_CP050047.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_013371745.1,GCF_013371745.1|NZ_CP055259.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_013371745.1,GCF_013371745.1|NZ_CP055262.1|r4c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_013372365.1,GCF_013372365.1|NZ_CP054227.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,11,6
GCF_014169275.1,GCF_014169275.1|NZ_AP022120.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,11,4
GCF_014169275.1,GCF_014169275.1|NZ_AP022120.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,11,4
GCF_014169275.1,GCF_014169275.1|NZ_AP022121.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,11,4
GCF_015135355.1,GCF_015135355.1|NZ_AP022409.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,4
GCF_014160155.1,GCF_014160155.1|NZ_AP022107.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014189395.1,GCF_014189395.1|NZ_CP047277.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_015910185.1,GCF_015910185.1|NZ_CP047710.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,16,7
GCF_015910185.1,GCF_015910185.1|NZ_CP047710.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,16,7
GCF_014168735.1,GCF_014168735.1|NZ_AP021944.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,4
GCF_013389695.1,GCF_013389695.1|NZ_CP058302.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_013389695.1,GCF_013389695.1|NZ_CP058305.1|r4c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_014168975.1,GCF_014168975.1|NZ_AP022036.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014522225.1,GCF_014522225.1|NZ_CP049118.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_014522225.1,GCF_014522225.1|NZ_CP049118.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_014522225.1,GCF_014522225.1|NZ_CP049119.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,3
GCF_013376515.1,GCF_013376515.1|NZ_CP051158.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014168595.1,GCF_014168595.1|NZ_AP021914.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014168595.1,GCF_014168595.1|NZ_AP021914.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014168595.1,GCF_014168595.1|NZ_AP021915.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_015136895.1,GCF_015136895.1|NZ_AP022482.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_015136895.1,GCF_015136895.1|NZ_AP022482.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_015136895.1,GCF_015136895.1|NZ_AP022483.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_016772495.1,GCF_016772495.1|NZ_CP068591.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_016772495.1,GCF_016772495.1|NZ_CP068591.1|r1c3|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_014904185.2,GCF_014904185.2|NZ_CP075469.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_016629485.1,GCF_016629485.1|NZ_AP024205.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_015571955.1,GCF_015571955.1|NZ_CP062908.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_015571815.1,GCF_015571815.1|NZ_CP062863.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_016432785.1,GCF_016432785.1|NZ_CP061101.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_015571875.1,GCF_015571875.1|NZ_CP062895.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_015571775.1,GCF_015571775.1|NZ_CP062883.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014075475.1,GCF_014075475.1|NZ_CP050044.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_015571635.1,GCF_015571635.1|NZ_CP062832.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_015571655.1,GCF_015571655.1|NZ_CP062838.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_015571615.1,GCF_015571615.1|NZ_CP062826.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_015571555.1,GCF_015571555.1|NZ_CP062815.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_016767775.1,GCF_016767775.1|NZ_CP056077.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,12,6
GCF_016767775.1,GCF_016767775.1|NZ_CP056077.1|r1c3|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,12,6
GCF_014169475.1,GCF_014169475.1|NZ_AP022177.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014169475.1,GCF_014169475.1|NZ_AP022177.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013372345.1,GCF_013372345.1|NZ_CP054224.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014826015.1,GCF_014826015.1|NZ_CP058618.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_014826015.1,GCF_014826015.1|NZ_CP058618.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,4
GCF_013393825.1,GCF_013393825.1|NZ_CP040090.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014904435.2,GCF_014904435.2|NZ_CP075462.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014169995.1,GCF_014169995.1|NZ_CP054282.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014075915.1,GCF_014075915.1|NZ_CP050031.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_013426095.1,GCF_013426095.1|NZ_CP058656.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_013426095.1,GCF_013426095.1|NZ_CP058658.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_016592875.1,GCF_016592875.1|NZ_AP023286.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014169695.1,GCF_014169695.1|NZ_AP022245.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_013426075.1,GCF_013426075.1|NZ_CP058651.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_013426075.1,GCF_013426075.1|NZ_CP058653.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,10,4
GCF_014075795.1,GCF_014075795.1|NZ_CP050036.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014338505.1,GCF_014338505.1|NZ_CP060708.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_016774415.1,GCF_016774415.1|NZ_CP068706.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,11,5
GCF_016774415.1,GCF_016774415.1|NZ_CP068707.1|r2c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,11,5
GCF_013423805.1,GCF_013423805.1|NZ_CP058948.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_013425935.1,GCF_013425935.1|NZ_CP059043.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_015571835.1,GCF_015571835.1|NZ_CP062868.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_015571835.1,GCF_015571835.1|NZ_CP062870.1|r3c1|aerobactin,BGC0001499,aerobactin,Other,NIS,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,9,3
GCF_014904145.2,GCF_014904145.2|NZ_CP075477.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_014904145.2,GCF_014904145.2|NZ_CP075477.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_014904235.2,GCF_014904235.2|NZ_CP075484.1|r1c1|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,1,0,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_014904235.2,GCF_014904235.2|NZ_CP075484.1|r1c3|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_014117405.1,GCF_014117405.1|NZ_CP059723.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,9,5
GCF_014295255.1,GCF_014295255.1|NZ_CP060073.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014705965.1,GCF_014705965.1|NZ_CP061530.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014169895.1,GCF_014169895.1|NZ_AP022295.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014904265.2,GCF_014904265.2|NZ_CP075487.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_016659085.1,GCF_016659085.1|NZ_CP067994.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,4
GCF_014904175.2,GCF_014904175.2|NZ_CP075474.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014170735.1,GCF_014170735.1|NZ_CP059929.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014863705.1,GCF_014863705.1|NZ_CP062243.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863765.1,GCF_014863765.1|NZ_CP062247.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863645.1,GCF_014863645.1|NZ_CP062240.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863665.1,GCF_014863665.1|NZ_CP062241.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863825.1,GCF_014863825.1|NZ_CP062249.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863805.1,GCF_014863805.1|NZ_CP062248.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863625.1,GCF_014863625.1|NZ_CP062239.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863685.1,GCF_014863685.1|NZ_CP062242.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863725.1,GCF_014863725.1|NZ_CP062244.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863785.1,GCF_014863785.1|NZ_CP062246.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863845.1,GCF_014863845.1|NZ_CP062250.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_014863745.1,GCF_014863745.1|NZ_CP062245.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
GCF_013694345.1,GCF_013694345.1|NZ_CP059283.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_016446335.1,GCF_016446335.1|NZ_CP048821.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,3
GCF_013374315.1,GCF_013374315.1|NZ_AP023235.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_013391825.1,GCF_013391825.1|NZ_CP058355.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014904315.2,GCF_014904315.2|NZ_CP075472.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,7,3
GCF_014168935.1,GCF_014168935.1|NZ_AP022030.1|r1c2|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Escherichia,Escherichia coli,8,4
