Strain_Name,Has_BamA,Best_Evalue,Hit_Locus_Tag,Final_Classification
GCF_003955715.1,False,,Clean,Monoderm (Keep)
GCF_003963535.1,False,,Clean,Monoderm (Keep)
GCF_003999355.1,False,,Clean,Monoderm (Keep)
GCF_004001205.1,False,,Clean,Monoderm (Keep)
GCF_003999605.1,False,,Clean,Monoderm (Keep)
GCF_003999335.1,False,,Clean,Monoderm (Keep)
GCF_003991175.1,False,,Clean,Monoderm (Keep)
GCF_003994915.1,False,,Clean,Monoderm (Keep)
GCF_004001305.1,False,,Clean,Monoderm (Keep)
GCF_003999665.1,False,,Clean,Monoderm (Keep)
GCF_003999255.1,False,,Clean,Monoderm (Keep)
GCF_004006235.1,False,,Clean,Monoderm (Keep)
GCF_003991875.1,False,,Clean,Monoderm (Keep)
GCF_003991855.1,False,,Clean,Monoderm (Keep)
GCF_003999315.1,False,,Clean,Monoderm (Keep)
GCF_003999295.1,False,,Clean,Monoderm (Keep)
GCF_003991425.1,False,,Clean,Monoderm (Keep)
GCF_004026165.1,False,,Clean,Monoderm (Keep)
GCF_004101385.1,False,,Clean,Monoderm (Keep)
GCF_004101325.1,False,,Clean,Monoderm (Keep)
GCF_004087995.1,False,,Clean,Monoderm (Keep)
GCF_004028315.1,False,,Clean,Monoderm (Keep)
GCF_004026185.1,False,,Clean,Monoderm (Keep)
GCF_004028295.1,False,,Clean,Monoderm (Keep)
GCF_004015145.1,False,,Clean,Monoderm (Keep)
GCF_004028335.1,False,,Clean,Monoderm (Keep)
GCF_004010875.1,False,,Clean,Monoderm (Keep)
GCF_004010855.1,False,,Clean,Monoderm (Keep)
GCF_004011315.1,False,,Clean,Monoderm (Keep)
GCF_004010975.1,False,,Clean,Monoderm (Keep)
GCF_004028355.1,False,,Clean,Monoderm (Keep)
GCF_004063635.1,False,,Clean,Monoderm (Keep)
GCF_004063515.1,False,,Clean,Monoderm (Keep)
GCF_004088235.1,False,,Clean,Monoderm (Keep)
GCF_004011055.1,False,,Clean,Monoderm (Keep)
GCF_004011075.1,False,,Clean,Monoderm (Keep)
GCF_004028235.1,False,,Clean,Monoderm (Keep)
GCF_004015165.1,False,,Clean,Monoderm (Keep)
GCF_004011095.1,False,,Clean,Monoderm (Keep)
GCF_004014985.1,False,,Clean,Monoderm (Keep)
GCF_004011115.1,False,,Clean,Monoderm (Keep)
GCF_004010955.1,False,,Clean,Monoderm (Keep)
GCF_004011135.1,False,,Clean,Monoderm (Keep)
GCF_004006015.1,False,,Clean,Monoderm (Keep)
GCF_004014875.1,False,,Clean,Monoderm (Keep)
GCF_004000565.1,False,,Clean,Monoderm (Keep)
GCF_004006455.1,False,,Clean,Monoderm (Keep)
GCF_004006395.2,False,,Clean,Monoderm (Keep)
GCF_004101485.1,False,,Clean,Monoderm (Keep)
GCF_004006435.1,False,,Clean,Monoderm (Keep)
GCF_004006115.1,False,,Clean,Monoderm (Keep)
GCF_004101345.1,False,,Clean,Monoderm (Keep)
GCF_004006295.1,False,,Clean,Monoderm (Keep)
GCF_003999735.1,False,,Clean,Monoderm (Keep)
GCF_004101365.1,False,,Clean,Monoderm (Keep)
GCF_004101445.1,False,,Clean,Monoderm (Keep)
GCF_003994395.1,False,,Clean,Monoderm (Keep)
GCF_004006475.1,False,,Clean,Monoderm (Keep)
GCF_004101405.1,False,,Clean,Monoderm (Keep)
GCF_004006495.1,False,,Clean,Monoderm (Keep)
GCF_004101425.1,False,,Clean,Monoderm (Keep)
GCF_004015185.1,False,,Clean,Monoderm (Keep)
GCF_004028015.1,False,,Clean,Monoderm (Keep)
GCF_004011905.1,False,,Clean,Monoderm (Keep)
GCF_004027995.1,False,,Clean,Monoderm (Keep)
GCF_003994375.1,False,,Clean,Monoderm (Keep)
GCF_004001265.1,False,,Clean,Monoderm (Keep)
GCF_004101465.1,False,,Clean,Monoderm (Keep)
GCF_004101505.1,False,,Clean,Monoderm (Keep)
GCF_004101525.1,False,,Clean,Monoderm (Keep)
GCF_004101605.1,False,,Clean,Monoderm (Keep)
GCF_004101625.1,False,,Clean,Monoderm (Keep)
GCF_004101545.1,False,,Clean,Monoderm (Keep)
GCF_004101645.1,False,,Clean,Monoderm (Keep)
GCF_004101845.1,False,,Clean,Monoderm (Keep)
GCF_004101585.1,False,,Clean,Monoderm (Keep)
GCF_004101565.1,False,,Clean,Monoderm (Keep)
GCF_004101785.1,False,,Clean,Monoderm (Keep)
GCF_004101665.1,False,,Clean,Monoderm (Keep)
GCF_004124015.1,False,,Clean,Monoderm (Keep)
GCF_004119635.1,False,,Clean,Monoderm (Keep)
GCF_004118995.1,False,,Clean,Monoderm (Keep)
GCF_004135345.1,False,,Clean,Monoderm (Keep)
GCF_004119835.1,False,,Clean,Monoderm (Keep)
GCF_004123995.1,False,,Clean,Monoderm (Keep)
GCF_004119675.1,False,,Clean,Monoderm (Keep)
GCF_004124135.1,False,,Clean,Monoderm (Keep)
GCF_004124075.1,False,,Clean,Monoderm (Keep)
GCF_004102605.1,False,,Clean,Monoderm (Keep)
GCF_004114735.1,False,,Clean,Monoderm (Keep)
GCF_004103675.1,False,,Clean,Monoderm (Keep)
GCF_004103535.1,False,,Clean,Monoderm (Keep)
GCF_004103515.1,False,,Clean,Monoderm (Keep)
GCF_004114755.1,False,,Clean,Monoderm (Keep)
GCF_004117015.1,False,,Clean,Monoderm (Keep)
GCF_004103655.1,False,,Clean,Monoderm (Keep)
GCF_004103575.1,False,,Clean,Monoderm (Keep)
GCF_004101865.1,False,,Clean,Monoderm (Keep)
GCF_004102585.1,False,,Clean,Monoderm (Keep)
GCF_004103475.1,False,,Clean,Monoderm (Keep)
GCF_004135085.1,False,,Clean,Monoderm (Keep)
GCF_004119535.1,False,,Clean,Monoderm (Keep)
GCF_004102045.2,False,,Clean,Monoderm (Keep)
GCF_004103735.1,False,,Clean,Monoderm (Keep)
GCF_004103635.1,False,,Clean,Monoderm (Keep)
GCF_004135385.1,False,,Clean,Monoderm (Keep)
GCF_004135365.1,False,,Clean,Monoderm (Keep)
GCF_004118935.1,False,,Clean,Monoderm (Keep)
GCF_004103495.1,False,,Clean,Monoderm (Keep)
GCF_004135405.1,False,,Clean,Monoderm (Keep)
GCF_004114895.1,False,,Clean,Monoderm (Keep)
GCF_004124115.1,False,,Clean,Monoderm (Keep)
GCF_004114715.1,False,,Clean,Monoderm (Keep)
GCF_004119575.1,False,,Clean,Monoderm (Keep)
GCF_004103715.1,False,,Clean,Monoderm (Keep)
GCF_004103755.1,False,,Clean,Monoderm (Keep)
GCF_004119695.1,False,,Clean,Monoderm (Keep)
GCF_004119595.1,False,,Clean,Monoderm (Keep)
GCF_004119815.1,False,,Clean,Monoderm (Keep)
GCF_004119875.1,False,,Clean,Monoderm (Keep)
GCF_004102025.1,False,,Clean,Monoderm (Keep)
GCF_004119615.1,False,,Clean,Monoderm (Keep)
GCF_004103695.1,False,,Clean,Monoderm (Keep)
GCF_004119655.1,False,,Clean,Monoderm (Keep)
GCF_004135285.1,False,,Clean,Monoderm (Keep)
GCF_004119755.1,False,,Clean,Monoderm (Keep)
GCF_004119555.1,False,,Clean,Monoderm (Keep)
GCF_004101945.1,False,,Clean,Monoderm (Keep)
GCF_004103875.1,False,,Clean,Monoderm (Keep)
GCF_004101825.1,False,,Clean,Monoderm (Keep)
GCF_004103555.1,False,,Clean,Monoderm (Keep)
GCF_004124315.2,False,,Clean,Monoderm (Keep)
GCF_004116955.1,False,,Clean,Monoderm (Keep)
GCF_004103595.1,False,,Clean,Monoderm (Keep)
GCF_004101805.1,False,,Clean,Monoderm (Keep)
GCF_004101885.1,False,,Clean,Monoderm (Keep)
GCF_004103615.1,False,,Clean,Monoderm (Keep)
GCF_004135875.1,False,,Clean,Monoderm (Keep)
GCF_004119855.1,False,,Clean,Monoderm (Keep)
GCF_004119735.1,False,,Clean,Monoderm (Keep)
GCF_004117055.1,False,,Clean,Monoderm (Keep)
GCF_004117095.1,False,,Clean,Monoderm (Keep)
GCF_004104505.1,False,,Clean,Monoderm (Keep)
GCF_004119795.1,False,,Clean,Monoderm (Keep)
GCF_004119715.1,False,,Clean,Monoderm (Keep)
GCF_004119775.1,False,,Clean,Monoderm (Keep)
GCF_004135895.1,False,,Clean,Monoderm (Keep)
GCF_004136195.1,False,,Clean,Monoderm (Keep)
GCF_004141835.1,False,,Clean,Monoderm (Keep)
GCF_004142705.1,False,,Clean,Monoderm (Keep)
GCF_004141755.1,False,,Clean,Monoderm (Keep)
GCF_004141895.1,False,,Clean,Monoderm (Keep)
GCF_004141875.1,False,,Clean,Monoderm (Keep)
GCF_004136235.1,False,,Clean,Monoderm (Keep)
GCF_004136655.1,False,,Clean,Monoderm (Keep)
GCF_004136215.1,False,,Clean,Monoderm (Keep)
GCF_004136255.1,False,,Clean,Monoderm (Keep)
GCF_004153365.1,False,,Clean,Monoderm (Keep)
GCF_004104485.1,False,,Clean,Monoderm (Keep)
GCF_004214875.1,False,,Clean,Monoderm (Keep)
GCF_004194375.1,False,,Clean,Monoderm (Keep)
GCF_004208595.1,False,,Clean,Monoderm (Keep)
GCF_004216495.1,False,,Clean,Monoderm (Keep)
GCF_004154045.1,False,,Clean,Monoderm (Keep)
GCF_004154365.1,False,,Clean,Monoderm (Keep)
GCF_004154285.1,False,,Clean,Monoderm (Keep)
GCF_004154105.1,False,,Clean,Monoderm (Keep)
GCF_004153985.1,False,,Clean,Monoderm (Keep)
GCF_004154385.1,False,,Clean,Monoderm (Keep)
GCF_004154305.1,False,,Clean,Monoderm (Keep)
GCF_004154345.1,False,,Clean,Monoderm (Keep)
GCF_004154165.1,False,,Clean,Monoderm (Keep)
GCF_004154405.1,False,,Clean,Monoderm (Keep)
GCF_004154085.1,False,,Clean,Monoderm (Keep)
GCF_004208615.1,False,,Clean,Monoderm (Keep)
GCF_004154125.1,False,,Clean,Monoderm (Keep)
GCF_004153945.1,False,,Clean,Monoderm (Keep)
GCF_004193935.1,False,,Clean,Monoderm (Keep)
GCF_004154205.1,False,,Clean,Monoderm (Keep)
GCF_004154325.1,False,,Clean,Monoderm (Keep)
GCF_004154225.1,False,,Clean,Monoderm (Keep)
GCF_004154025.1,False,,Clean,Monoderm (Keep)
GCF_004154245.1,False,,Clean,Monoderm (Keep)
GCF_004193635.1,False,,Clean,Monoderm (Keep)
GCF_004154185.1,False,,Clean,Monoderm (Keep)
GCF_004154005.1,False,,Clean,Monoderm (Keep)
GCF_004154265.1,False,,Clean,Monoderm (Keep)
GCF_004193695.1,False,,Clean,Monoderm (Keep)
GCF_004193655.1,False,,Clean,Monoderm (Keep)
GCF_004154145.1,False,,Clean,Monoderm (Keep)
GCF_004153965.1,False,,Clean,Monoderm (Keep)
GCF_004193675.1,False,,Clean,Monoderm (Keep)
GCF_004193955.1,False,,Clean,Monoderm (Keep)
GCF_004154065.1,False,,Clean,Monoderm (Keep)
GCF_004193895.1,False,,Clean,Monoderm (Keep)
GCF_004154955.1,False,,Clean,Monoderm (Keep)
GCF_004193875.1,False,,Clean,Monoderm (Keep)
GCF_004291175.2,False,,Clean,Monoderm (Keep)
GCF_004291115.2,False,,Clean,Monoderm (Keep)
GCF_004291255.1,False,,Clean,Monoderm (Keep)
GCF_004208635.1,False,,Clean,Monoderm (Keep)
GCF_004319665.1,False,,Clean,Monoderm (Keep)
GCF_004295625.1,False,,Clean,Monoderm (Keep)
GCF_004295485.1,False,,Clean,Monoderm (Keep)
GCF_004300825.1,False,,Clean,Monoderm (Keep)
GCF_004210215.2,False,,Clean,Monoderm (Keep)
GCF_004295125.1,False,,Clean,Monoderm (Keep)
GCF_004322775.1,False,,Clean,Monoderm (Keep)
GCF_004322855.1,False,,Clean,Monoderm (Keep)
GCF_004328535.1,False,,Clean,Monoderm (Keep)
GCF_004328725.1,False,,Clean,Monoderm (Keep)
GCF_004323755.1,False,,Clean,Monoderm (Keep)
GCF_004323775.1,False,,Clean,Monoderm (Keep)
GCF_004209815.1,False,,Clean,Monoderm (Keep)
GCF_004210255.1,False,,Clean,Monoderm (Keep)
GCF_004328745.1,False,,Clean,Monoderm (Keep)
GCF_004322655.1,False,,Clean,Monoderm (Keep)
GCF_004209835.1,False,,Clean,Monoderm (Keep)
GCF_004295585.1,False,,Clean,Monoderm (Keep)
GCF_004323735.1,False,,Clean,Monoderm (Keep)
GCF_004771115.1,False,,Clean,Monoderm (Keep)
GCF_004551615.1,False,,Clean,Monoderm (Keep)
GCF_004771075.1,False,,Clean,Monoderm (Keep)
GCF_004771295.1,False,,Clean,Monoderm (Keep)
GCF_004792535.1,False,,Clean,Monoderm (Keep)
GCF_004768685.1,False,,Clean,Monoderm (Keep)
GCF_004771095.1,False,,Clean,Monoderm (Keep)
GCF_004792515.1,False,,Clean,Monoderm (Keep)
GCF_004768725.1,False,,Clean,Monoderm (Keep)
GCF_004379335.1,False,,Clean,Monoderm (Keep)
GCF_004367585.1,False,,Clean,Monoderm (Keep)
GCF_004337615.1,False,,Clean,Monoderm (Keep)
GCF_004332055.1,False,,Clean,Monoderm (Keep)
GCF_004684285.1,False,,Clean,Monoderm (Keep)
GCF_004634385.1,False,,Clean,Monoderm (Keep)
GCF_004332015.1,False,,Clean,Monoderm (Keep)
GCF_004332035.1,False,,Clean,Monoderm (Keep)
GCF_004636745.1,False,,Clean,Monoderm (Keep)
GCF_004345205.2,False,,Clean,Monoderm (Keep)
GCF_004337655.1,False,,Clean,Monoderm (Keep)
GCF_004564075.1,False,,Clean,Monoderm (Keep)
GCF_004359375.1,False,,Clean,Monoderm (Keep)
GCF_004355265.1,False,,Clean,Monoderm (Keep)
GCF_004771435.1,False,,Clean,Monoderm (Keep)
GCF_004328625.1,False,,Clean,Monoderm (Keep)
GCF_004524875.1,False,,Clean,Monoderm (Keep)
GCF_004353245.1,False,,Clean,Monoderm (Keep)
GCF_004771175.1,False,,Clean,Monoderm (Keep)
GCF_004332355.1,False,,Clean,Monoderm (Keep)
GCF_004358325.1,False,,Clean,Monoderm (Keep)
GCF_004795735.1,False,,Clean,Monoderm (Keep)
GCF_004771515.1,False,,Clean,Monoderm (Keep)
GCF_004758745.1,False,,Clean,Monoderm (Keep)
GCF_004771195.1,False,,Clean,Monoderm (Keep)
GCF_004421085.1,False,,Clean,Monoderm (Keep)
GCF_004785995.1,False,,Clean,Monoderm (Keep)
GCF_004636605.1,False,,Clean,Monoderm (Keep)
GCF_004636665.1,False,,Clean,Monoderm (Keep)
GCF_004772175.1,False,,Clean,Monoderm (Keep)
GCF_004797195.1,False,,Clean,Monoderm (Keep)
GCF_004614315.1,False,,Clean,Monoderm (Keep)
GCF_004614295.1,False,,Clean,Monoderm (Keep)
GCF_004763665.1,False,,Clean,Monoderm (Keep)
GCF_004332375.1,False,,Clean,Monoderm (Keep)
GCF_004379295.1,False,,Clean,Monoderm (Keep)
GCF_004772215.1,False,,Clean,Monoderm (Keep)
GCF_004328885.1,False,,Clean,Monoderm (Keep)
GCF_004730965.1,False,,Clean,Monoderm (Keep)
GCF_004777465.1,False,,Clean,Monoderm (Keep)
GCF_004355245.1,False,,Clean,Monoderm (Keep)
GCF_004564355.1,False,,Clean,Monoderm (Keep)
GCF_004353525.1,False,,Clean,Monoderm (Keep)
GCF_004771335.1,False,,Clean,Monoderm (Keep)
GCF_004526345.1,False,,Clean,Monoderm (Keep)
GCF_004771975.1,False,,Clean,Monoderm (Keep)
GCF_004772055.1,False,,Clean,Monoderm (Keep)
GCF_004785625.2,False,,Clean,Monoderm (Keep)
GCF_004683965.1,False,,Clean,Monoderm (Keep)
GCF_004564375.1,False,,Clean,Monoderm (Keep)
GCF_004563755.2,False,,Clean,Monoderm (Keep)
GCF_004329055.1,False,,Clean,Monoderm (Keep)
GCF_004526275.1,False,,Clean,Monoderm (Keep)
GCF_004328925.1,False,,Clean,Monoderm (Keep)
GCF_004519465.1,False,,Clean,Monoderm (Keep)
GCF_004421045.1,False,,Clean,Monoderm (Keep)
GCF_004771155.1,False,,Clean,Monoderm (Keep)
GCF_004328845.1,False,,Clean,Monoderm (Keep)
GCF_004328705.1,False,,Clean,Monoderm (Keep)
GCF_004208415.1,False,,Clean,Monoderm (Keep)
GCF_004798665.1,False,,Clean,Monoderm (Keep)
GCF_004798685.1,False,,Clean,Monoderm (Keep)
GCF_004798705.1,False,,Clean,Monoderm (Keep)
GCF_004795875.1,False,,Clean,Monoderm (Keep)
GCF_004795915.1,False,,Clean,Monoderm (Keep)
GCF_004634405.1,False,,Clean,Monoderm (Keep)
GCF_004795715.1,False,,Clean,Monoderm (Keep)
GCF_004799565.1,False,,Clean,Monoderm (Keep)
GCF_005222125.1,False,,Clean,Monoderm (Keep)
GCF_004801195.1,False,,Clean,Monoderm (Keep)
GCF_004799705.1,False,,Clean,Monoderm (Keep)
GCF_004803895.1,False,,Clean,Monoderm (Keep)
GCF_005166365.1,False,,Clean,Monoderm (Keep)
GCF_005158285.1,False,,Clean,Monoderm (Keep)
GCF_005158025.1,False,,Clean,Monoderm (Keep)
GCF_005484805.1,False,,Clean,Monoderm (Keep)
GCF_005491085.2,False,,Clean,Monoderm (Keep)
GCF_005517315.1,False,,Clean,Monoderm (Keep)
GCF_005164025.1,False,,Clean,Monoderm (Keep)
GCF_005162565.1,False,,Clean,Monoderm (Keep)
GCF_005347505.1,False,,Clean,Monoderm (Keep)
GCF_005160565.1,False,,Clean,Monoderm (Keep)
GCF_005163565.1,False,,Clean,Monoderm (Keep)
GCF_005161125.1,False,,Clean,Monoderm (Keep)
GCF_005145085.1,False,,Clean,Monoderm (Keep)
GCF_005162725.1,False,,Clean,Monoderm (Keep)
GCF_005163385.1,False,,Clean,Monoderm (Keep)
GCF_005161325.1,False,,Clean,Monoderm (Keep)
GCF_005160445.1,False,,Clean,Monoderm (Keep)
GCF_005154805.1,False,,Clean,Monoderm (Keep)
GCF_005161825.1,False,,Clean,Monoderm (Keep)
GCF_005160785.1,False,,Clean,Monoderm (Keep)
GCF_005163705.1,False,,Clean,Monoderm (Keep)
GCF_005222545.1,False,,Clean,Monoderm (Keep)
GCF_004936435.1,False,,Clean,Monoderm (Keep)
GCF_005161465.1,False,,Clean,Monoderm (Keep)
GCF_005163245.1,False,,Clean,Monoderm (Keep)
GCF_005162865.1,False,,Clean,Monoderm (Keep)
GCF_005163085.1,False,,Clean,Monoderm (Keep)
GCF_005164885.1,False,,Clean,Monoderm (Keep)
GCF_005164585.1,False,,Clean,Monoderm (Keep)
GCF_005160925.1,False,,Clean,Monoderm (Keep)
GCF_005163865.1,False,,Clean,Monoderm (Keep)
GCF_005162245.1,False,,Clean,Monoderm (Keep)
GCF_005164305.1,False,,Clean,Monoderm (Keep)
GCF_005161985.1,False,,Clean,Monoderm (Keep)
GCF_005162405.1,False,,Clean,Monoderm (Keep)
GCF_005164705.1,False,,Clean,Monoderm (Keep)
GCF_005165045.1,False,,Clean,Monoderm (Keep)
GCF_005165265.1,False,,Clean,Monoderm (Keep)
GCF_005165385.1,False,,Clean,Monoderm (Keep)
GCF_005145005.1,False,,Clean,Monoderm (Keep)
GCF_005161605.1,False,,Clean,Monoderm (Keep)
GCF_004941425.1,False,,Clean,Monoderm (Keep)
GCF_004843685.1,False,,Clean,Monoderm (Keep)
GCF_005341465.1,False,,Clean,Monoderm (Keep)
GCF_005406285.1,False,,Clean,Monoderm (Keep)
GCF_005484525.1,False,,Clean,Monoderm (Keep)
GCF_005341445.1,False,,Clean,Monoderm (Keep)
GCF_004843545.1,False,,Clean,Monoderm (Keep)
GCF_005280295.1,False,,Clean,Monoderm (Keep)
GCF_005222505.1,False,,Clean,Monoderm (Keep)
GCF_005484985.1,False,,Clean,Monoderm (Keep)
GCF_005121165.3,False,,Clean,Monoderm (Keep)
GCF_005160065.1,False,,Clean,Monoderm (Keep)
GCF_005490785.1,False,,Clean,Monoderm (Keep)
GCF_005347485.1,False,,Clean,Monoderm (Keep)
GCF_005490985.1,False,,Clean,Monoderm (Keep)
GCF_005234095.1,False,,Clean,Monoderm (Keep)
GCF_005491425.1,False,,Clean,Monoderm (Keep)
GCF_005160425.1,False,,Clean,Monoderm (Keep)
GCF_005473905.2,False,,Clean,Monoderm (Keep)
GCF_005156105.1,False,,Clean,Monoderm (Keep)
GCF_005155785.1,False,,Clean,Monoderm (Keep)
GCF_004924335.1,False,,Clean,Monoderm (Keep)
GCF_005280255.1,False,,Clean,Monoderm (Keep)
GCF_005280655.1,False,,Clean,Monoderm (Keep)
GCF_005517195.1,False,,Clean,Monoderm (Keep)
GCF_005577315.1,False,,Clean,Monoderm (Keep)
GCF_005576735.1,False,,Clean,Monoderm (Keep)
GCF_005576935.1,False,,Clean,Monoderm (Keep)
GCF_005576555.1,False,,Clean,Monoderm (Keep)
GCF_005490965.1,False,,Clean,Monoderm (Keep)
GCF_005222485.1,False,,Clean,Monoderm (Keep)
GCF_005518015.1,False,,Clean,Monoderm (Keep)
GCF_005518055.1,False,,Clean,Monoderm (Keep)
GCF_005518035.1,False,,Clean,Monoderm (Keep)
GCF_005601135.1,False,,Clean,Monoderm (Keep)
GCF_005577435.1,False,,Clean,Monoderm (Keep)
GCF_005671335.1,False,,Clean,Monoderm (Keep)
GCF_005519465.1,False,,Clean,Monoderm (Keep)
GCF_005845365.1,False,,Clean,Monoderm (Keep)
GCF_005845385.1,False,,Clean,Monoderm (Keep)
GCF_005845345.1,False,,Clean,Monoderm (Keep)
GCF_006094475.1,False,,Clean,Monoderm (Keep)
GCF_005889995.1,False,,Clean,Monoderm (Keep)
GCF_006088795.1,False,,Clean,Monoderm (Keep)
GCF_005707015.1,False,,Clean,Monoderm (Keep)
GCF_005886075.1,False,,Clean,Monoderm (Keep)
GCF_005886715.1,False,,Clean,Monoderm (Keep)
GCF_006016075.1,False,,Clean,Monoderm (Keep)
GCF_005885975.1,False,,Clean,Monoderm (Keep)
GCF_005960665.1,False,,Clean,Monoderm (Keep)
GCF_005952885.1,False,,Clean,Monoderm (Keep)
GCF_005954685.1,False,,Clean,Monoderm (Keep)
GCF_005890035.1,False,,Clean,Monoderm (Keep)
GCF_006094915.1,False,,Clean,Monoderm (Keep)
GCF_005931035.2,False,,Clean,Monoderm (Keep)
GCF_006094375.1,False,,Clean,Monoderm (Keep)
GCF_005696695.1,False,,Clean,Monoderm (Keep)
GCF_006094395.1,False,,Clean,Monoderm (Keep)
GCF_006007945.1,False,,Clean,Monoderm (Keep)
GCF_006007925.1,False,,Clean,Monoderm (Keep)
GCF_006094355.1,False,,Clean,Monoderm (Keep)
GCF_005979305.1,False,,Clean,Monoderm (Keep)
GCF_005696555.1,False,,Clean,Monoderm (Keep)
GCF_005886755.1,False,,Clean,Monoderm (Keep)
GCF_005707215.1,False,,Clean,Monoderm (Keep)
GCF_005705815.1,False,,Clean,Monoderm (Keep)
GCF_005849435.1,False,,Clean,Monoderm (Keep)
GCF_005886545.1,False,,Clean,Monoderm (Keep)
GCF_005979285.1,False,,Clean,Monoderm (Keep)
GCF_005886655.1,False,,Clean,Monoderm (Keep)
GCF_005877055.1,False,,Clean,Monoderm (Keep)
GCF_005890135.1,False,,Clean,Monoderm (Keep)
GCF_005843965.1,False,,Clean,Monoderm (Keep)
GCF_005937795.2,False,,Clean,Monoderm (Keep)
GCF_005707335.1,False,,Clean,Monoderm (Keep)
GCF_006065115.1,False,,Clean,Monoderm (Keep)
GCF_005886435.1,False,,Clean,Monoderm (Keep)
GCF_005890015.1,False,,Clean,Monoderm (Keep)
GCF_006007965.1,False,,Clean,Monoderm (Keep)
GCF_005696855.1,False,,Clean,Monoderm (Keep)
GCF_005706215.1,False,,Clean,Monoderm (Keep)
GCF_006094415.1,False,,Clean,Monoderm (Keep)
GCF_005890155.1,False,,Clean,Monoderm (Keep)
GCF_005931015.2,False,,Clean,Monoderm (Keep)
GCF_005886215.1,False,,Clean,Monoderm (Keep)
GCF_005931055.2,False,,Clean,Monoderm (Keep)
GCF_005706435.1,False,,Clean,Monoderm (Keep)
GCF_006094275.1,False,,Clean,Monoderm (Keep)
GCF_005937985.2,False,,Clean,Monoderm (Keep)
GCF_005954645.2,False,,Clean,Monoderm (Keep)
GCF_005848555.1,False,,Clean,Monoderm (Keep)
GCF_005937995.2,False,,Clean,Monoderm (Keep)
GCF_006094335.1,False,,Clean,Monoderm (Keep)
GCF_006094695.1,False,,Clean,Monoderm (Keep)
GCF_005849145.1,False,,Clean,Monoderm (Keep)
GCF_005707595.1,False,,Clean,Monoderm (Keep)
GCF_005848985.1,False,,Clean,Monoderm (Keep)
GCF_005670685.2,False,,Clean,Monoderm (Keep)
GCF_006007905.1,False,,Clean,Monoderm (Keep)
GCF_006094295.1,False,,Clean,Monoderm (Keep)
GCF_005944105.1,False,,Clean,Monoderm (Keep)
GCF_006151905.1,False,,Clean,Monoderm (Keep)
GCF_006228185.1,False,,Clean,Monoderm (Keep)
GCF_006094495.1,False,,Clean,Monoderm (Keep)
GCF_006228225.1,False,,Clean,Monoderm (Keep)
GCF_006228265.1,False,,Clean,Monoderm (Keep)
GCF_006228305.1,False,,Clean,Monoderm (Keep)
GCF_006228245.1,False,,Clean,Monoderm (Keep)
GCF_006228285.1,False,,Clean,Monoderm (Keep)
GCF_006228205.1,False,,Clean,Monoderm (Keep)
GCF_006337045.1,False,,Clean,Monoderm (Keep)
GCF_006280355.1,False,,Clean,Monoderm (Keep)
GCF_006158985.1,False,,Clean,Monoderm (Keep)
GCF_006228325.1,False,,Clean,Monoderm (Keep)
GCF_006228565.1,False,,Clean,Monoderm (Keep)
GCF_005860785.2,False,,Clean,Monoderm (Keep)
GCF_006165085.1,False,,Clean,Monoderm (Keep)
GCF_006716625.1,False,,Clean,Monoderm (Keep)
GCF_006151925.1,False,,Clean,Monoderm (Keep)
GCF_006274405.1,False,,Clean,Monoderm (Keep)
GCF_006088715.1,False,,Clean,Monoderm (Keep)
GCF_006716515.1,False,,Clean,Monoderm (Keep)
GCF_006351785.1,False,,Clean,Monoderm (Keep)
GCF_006741705.1,False,,Clean,Monoderm (Keep)
GCF_006364775.1,False,,Clean,Monoderm (Keep)
GCF_006517775.1,False,,Clean,Monoderm (Keep)
GCF_006349345.1,False,,Clean,Monoderm (Keep)
GCF_006364675.1,False,,Clean,Monoderm (Keep)
GCF_006575625.1,False,,Clean,Monoderm (Keep)
GCF_006337145.1,False,,Clean,Monoderm (Keep)
GCF_006517815.1,False,,Clean,Monoderm (Keep)
GCF_006349735.2,False,,Clean,Monoderm (Keep)
GCF_006739205.1,False,,Clean,Monoderm (Keep)
GCF_006741355.1,False,,Clean,Monoderm (Keep)
GCF_006385935.1,False,,Clean,Monoderm (Keep)
GCF_006384875.1,False,,Clean,Monoderm (Keep)
GCF_006351845.1,False,,Clean,Monoderm (Keep)
GCF_006351725.2,False,,Clean,Monoderm (Keep)
GCF_006351985.2,False,,Clean,Monoderm (Keep)
GCF_006704185.1,False,,Clean,Monoderm (Keep)
GCF_006742065.1,False,,Clean,Monoderm (Keep)
GCF_006384955.1,False,,Clean,Monoderm (Keep)
GCF_006384935.1,False,,Clean,Monoderm (Keep)
GCF_006740645.1,False,,Clean,Monoderm (Keep)
GCF_006740305.1,False,,Clean,Monoderm (Keep)
GCF_006716245.1,False,,Clean,Monoderm (Keep)
GCF_006364235.1,False,,Clean,Monoderm (Keep)
GCF_006364655.1,False,,Clean,Monoderm (Keep)
GCF_006229535.1,False,,Clean,Monoderm (Keep)
GCF_006494855.1,False,,Clean,Monoderm (Keep)
GCF_006739385.1,False,,Clean,Monoderm (Keep)
GCF_006494835.1,False,,Clean,Monoderm (Keep)
GCF_006716385.1,False,,Clean,Monoderm (Keep)
GCF_006494875.1,False,,Clean,Monoderm (Keep)
GCF_006364815.1,False,,Clean,Monoderm (Keep)
GCF_006385575.1,False,,Clean,Monoderm (Keep)
