Unnamed: 0,X,dataname,syn_group,html_path,region_name,syn_type,Most.similar.known.cluster,Similarity,Genus,strainName,folder_path,BGC_number,version,gbk_path,definition,length,topology
2760,2760,GCF_045209635.1_NZ_CP109293.1.region006,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\index.html,#r1c6,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045209635.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\,33,NZ_CP109293.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\GCF_045209635.1.gbk,"Streptomyces sp. NBC_01622 chromosome, complete genome.",11696066,linear
2761,2761,GCF_045162825.1_NZ_CP108676.1.region022,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\index.html,#r1c22,NI-siderophore,0,0.0,Streptomyces,GCF_045162825.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\,27,NZ_CP108676.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\GCF_045162825.1.gbk,"Streptomyces prunicolor strain NBC_01021 chromosome, complete genome.",10948847,linear
2762,2762,GCF_035982055.1_NZ_CP108427.1.region006,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\index.html,#r1c6,NI-siderophore,0,0.0,Streptomyces,GCF_035982055.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\,30,NZ_CP108427.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\GCF_035982055.1.gbk,"Streptomyces sp. NBC_01288 chromosome, complete genome.",10558057,linear
2763,2763,GCF_036226385.1_NZ_CP108463.1.region009,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_036226385.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\,30,NZ_CP108463.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\GCF_036226385.1.gbk,"Streptomyces sp. NBC_01261 chromosome, complete genome.",11585837,linear
2764,2764,GCF_036118775.1_NZ_CP107998.1.region007,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\index.html,#r1c7,NI-siderophore,0,0.0,Streptomyces,GCF_036118775.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\,27,NZ_CP107998.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\GCF_036118775.1.gbk,"Streptomyces sp. NBC_00343 chromosome, complete genome.",10725031,linear
2765,2765,GCF_045040345.1_NZ_CP109416.1.region022,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\index.html,#r1c22,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045040345.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\,31,NZ_CP109416.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\GCF_045040345.1.gbk,"Streptomyces sp. NBC_01515 chromosome, complete genome.",11325605,linear
2766,2766,GCF_045162655.1_NZ_CP108728.1.region012,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\index.html,#r1c12,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045162655.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\,37,NZ_CP108728.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\GCF_045162655.1.gbk,"Streptomyces sp. NBC_00989 chromosome, complete genome.",11950319,linear
2767,2767,GCF_045162565.1_NZ_CP108733.1.region011,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\index.html,#r1c11,NI-siderophore,0,0.0,Streptomyces,GCF_045162565.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\,33,NZ_CP108733.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\GCF_045162565.1.gbk,"Streptomyces sp. NBC_00986 chromosome, complete genome.",11750813,linear
2768,2768,GCF_045162645.1_NZ_CP108730.1.region027,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\index.html,#r1c27,NI-siderophore,0,0.0,Streptomyces,GCF_045162645.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\,35,NZ_CP108730.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\GCF_045162645.1.gbk,"Streptomyces sp. NBC_00988 chromosome, complete genome.",12375414,linear
2769,2769,GCF_033335955.1_NZ_CP137549.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_033335955.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\,32,NZ_CP137549.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\GCF_033335955.1.gbk,"Streptomyces sp. N50 chromosome, complete genome.",10079986,linear
2770,2770,GCF_041051895.1_NZ_CP163431.1.region024,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\index.html,#r1c24,NI-siderophore,0,0.0,Streptomyces,GCF_041051895.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\,32,NZ_CP163431.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\GCF_041051895.1.gbk,"Streptomyces sp. R08 chromosome, complete genome.",10909712,linear
2771,2771,GCF_036226645.1_NZ_CP109004.1.region013,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_036226645.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\,41,NZ_CP109004.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\GCF_036226645.1.gbk,"Streptomyces sp. NBC_00696 chromosome, complete genome.",11090730,linear
2772,2772,GCF_045160915.1_NZ_CP108147.1.region024,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\index.html,#r1c24,NI-siderophore,0,0.0,Streptomyces,GCF_045160915.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\,32,NZ_CP108147.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\GCF_045160915.1.gbk,"Streptomyces sp. NBC_00169 chromosome, complete genome.",10117317,linear
2773,2773,GCF_045160925.1_NZ_CP108145.1.region009,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_045160925.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\,32,NZ_CP108145.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\GCF_045160925.1.gbk,"Streptomyces sp. NBC_00172 chromosome, complete genome.",10121374,linear
2774,2774,GCF_036196325.1_NZ_CP108102.1.region009,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_036196325.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\,32,NZ_CP108102.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\GCF_036196325.1.gbk,"Streptomyces sp. NBC_00228 chromosome, complete genome.",10117404,linear
2775,2775,GCF_036187565.1_NZ_CP108087.1.region009,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_036187565.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\,30,NZ_CP108087.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\GCF_036187565.1.gbk,"Streptomyces sp. NBC_00252 chromosome, complete genome.",10137727,linear
2776,2776,GCF_036227225.1_NZ_CP109444.1.region024,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\index.html,#r1c24,NI-siderophore,0,0.0,Streptomyces,GCF_036227225.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\,36,NZ_CP109444.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\GCF_036227225.1.gbk,"Streptomyces sp. NBC_01478 chromosome, complete genome.",12124816,linear
2777,2777,GCF_013364175.1_NZ_CP054939.1.region018,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013364175.1\index.html,#r1c18,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_013364175.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013364175.1\,24,NZ_CP054939.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013364175.1\GCF_013364175.1.gbk,"Streptomyces sp. NA02536 chromosome, complete genome.",7707218,linear
2778,2778,GCF_020783515.1_NZ_CP086174.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783515.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783515.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783515.1\,19,NZ_CP086174.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783515.1\GCF_020783515.1.gbk,"Streptomyces fungicidicus strain F10 chromosome, complete genome.",6740826,linear
2779,2779,GCF_020783555.1_NZ_CP086176.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783555.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783555.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783555.1\,19,NZ_CP086176.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783555.1\GCF_020783555.1.gbk,"Streptomyces fungicidicus strain F8 chromosome, complete genome.",6741257,linear
2780,2780,GCF_020783595.1_NZ_CP086178.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783595.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783595.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783595.1\,19,NZ_CP086178.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783595.1\GCF_020783595.1.gbk,"Streptomyces fungicidicus strain F2 chromosome, complete genome.",6740841,linear
2781,2781,GCF_020783635.1_NZ_CP086177.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783635.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783635.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783635.1\,19,NZ_CP086177.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783635.1\GCF_020783635.1.gbk,"Streptomyces fungicidicus strain F7 chromosome, complete genome.",6741246,linear
2782,2782,GCF_020783615.1_NZ_CP086179.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783615.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783615.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783615.1\,19,NZ_CP086179.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783615.1\GCF_020783615.1.gbk,"Streptomyces fungicidicus strain F1 chromosome, complete genome.",6740829,linear
2783,2783,GCF_020783575.1_NZ_CP086173.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783575.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783575.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783575.1\,19,NZ_CP086173.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783575.1\GCF_020783575.1.gbk,"Streptomyces fungicidicus strain ATCC 21013 chromosome, complete genome.",6740828,linear
2784,2784,GCF_020783535.1_NZ_CP086175.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783535.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_020783535.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783535.1\,19,NZ_CP086175.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020783535.1\GCF_020783535.1.gbk,"Streptomyces fungicidicus strain F9 chromosome, complete genome.",6740828,linear
2785,2785,GCF_003665435.1_NZ_CP023407.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003665435.1\index.html,#r1c16,NI-siderophore,paulomycin,0.09,Streptomyces,GCF_003665435.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003665435.1\,23,NZ_CP023407.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003665435.1\GCF_003665435.1.gbk,"Streptomyces fungicidicus strain TXX3120 chromosome, complete genome.",6740768,linear
2786,2786,GCF_034054735.1_NZ_CP139175.1.region014,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_034054735.1\index.html,#r1c14,NI-siderophore,grincamycin,0.11,Streptomyces,GCF_034054735.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_034054735.1\,20,NZ_CP139175.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_034054735.1\GCF_034054735.1.gbk,"Streptomyces sp. CL7 chromosome, complete genome.",7305967,linear
2787,2787,GCF_041051945.1_NZ_CP163433.1.region013,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051945.1\index.html,#r1c13,NI-siderophore,grincamycin,0.11,Streptomyces,GCF_041051945.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051945.1\,17,NZ_CP163433.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051945.1\GCF_041051945.1.gbk,"Streptomyces sp. R17 chromosome, complete genome.",7303904,linear
2788,2788,GCF_041051885.1_NZ_CP163429.1.region012,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051885.1\index.html,#r1c12,NI-siderophore,grincamycin,0.11,Streptomyces,GCF_041051885.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051885.1\,18,NZ_CP163429.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051885.1\GCF_041051885.1.gbk,"Streptomyces sp. R02 chromosome, complete genome.",7339597,linear
2789,2789,GCF_036226965.1_NZ_CP109207.1.region007,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226965.1\index.html,#r1c7,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_036226965.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226965.1\,17,NZ_CP109207.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226965.1\GCF_036226965.1.gbk,"Streptomyces althioticus strain NBC 01686 chromosome, complete genome.",7636976,linear
2790,2790,GCF_045277055.1_NZ_CP109215.1.region004,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045277055.1\index.html,#r1c4,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045277055.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045277055.1\,18,NZ_CP109215.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045277055.1\GCF_045277055.1.gbk,"Streptomyces althioticus strain NBC 01679 chromosome, complete genome.",7730518,linear
2791,2791,GCF_045276995.1_NZ_CP109225.1.region017,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276995.1\index.html,#r1c17,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045276995.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276995.1\,19,NZ_CP109225.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276995.1\GCF_045276995.1.gbk,"Streptomyces althioticus strain NBC 01672 chromosome, complete genome.",7754059,circular
2792,2792,GCF_045276965.1_NZ_CP109234.1.region004,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276965.1\index.html,#r1c4,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_045276965.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276965.1\,16,NZ_CP109234.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276965.1\GCF_045276965.1.gbk,"Streptomyces althioticus strain NBC 01666 chromosome, complete genome.",7542023,linear
2793,2793,GCF_022869105.1_NZ_CP094918.1.region006,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022869105.1\index.html,#r1c6,NI-siderophore,grincamycin,0.11,Streptomyces,GCF_022869105.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022869105.1\,21,NZ_CP094918.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022869105.1\GCF_022869105.1.gbk,"Streptomyces sp. BJ20 chromosome, complete genome.",7436964,linear
2794,2794,GCF_026651955.1_NZ_CP075343.1.region013,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_026651955.1\index.html,#r1c13,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_026651955.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_026651955.1\,16,NZ_CP075343.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_026651955.1\GCF_026651955.1.gbk,"Streptomyces sp. EMB24 chromosome, complete genome.",7252958,linear
2795,2795,GCF_008704515.1_NZ_CP023700.1.region021,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704515.1\index.html,#r1c21,NI-siderophore,0,0.0,Streptomyces,GCF_008704515.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704515.1\,24,NZ_CP023700.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704515.1\GCF_008704515.1.gbk,"Streptomyces viridosporus T7A strain ATCC 39115 chromosome, complete genome.",7280536,linear
2796,2796,GCF_006716135.1_NZ_CP022310.1.region009,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_006716135.1\index.html,#r1c9,NI-siderophore,grincamycin,0.05,Streptomyces,GCF_006716135.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_006716135.1\,32,NZ_CP022310.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_006716135.1\GCF_006716135.1.gbk,"Streptomyces calvus strain DSM 41452 chromosome, complete genome.",7766581,linear
2797,2797,GCF_045519255.1_NZ_CP169548.1.region019,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045519255.1\index.html,#r1c19,NI-siderophore,grincamycin,0.11,Streptomyces,GCF_045519255.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045519255.1\,25,NZ_CP169548.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045519255.1\GCF_045519255.1.gbk,"Streptomyces sp. DSM 116494 chromosome, complete genome.",7330005,linear
2798,2798,GCF_029760955.1_NZ_CP121682.1.region010,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_029760955.1\index.html,#r1c10,NI-siderophore,corynecin III/corynecin I/corynecin II,0.13,Streptomyces,GCF_029760955.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_029760955.1\,22,NZ_CP121682.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_029760955.1\GCF_029760955.1.gbk,"Streptomyces sp. HUAS 5 chromosome, complete genome.",7464554,linear
2799,2799,GCF_008704445.1_NZ_CP023697.1.region017,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704445.1\index.html,#r1c17,NI-siderophore,0,0.0,Streptomyces,GCF_008704445.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704445.1\,23,NZ_CP023697.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008704445.1\GCF_008704445.1.gbk,"Streptomyces prasinus strain ATCC 13879 chromosome, complete genome.",7647592,linear
2800,2800,GCF_035918035.1_NZ_CP109134.1.region021,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035918035.1\index.html,#r1c21,NI-siderophore,0,0.0,Streptomyces,GCF_035918035.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035918035.1\,29,NZ_CP109134.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035918035.1\GCF_035918035.1.gbk,Streptomyces hirsutus strain NBC 01753 chromosome.,8843894,linear
2801,2801,GCF_045209715.1_NZ_CP109277.1.region021,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209715.1\index.html,#r1c21,NI-siderophore,0,0.0,Streptomyces,GCF_045209715.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209715.1\,28,NZ_CP109277.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209715.1\GCF_045209715.1.gbk,"Streptomyces sp. NBC_01635 chromosome, complete genome.",8982372,linear
2802,2802,GCF_045209795.1_NZ_CP109264.1.region010,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209795.1\index.html,#r1c10,NI-siderophore,0,0.0,Streptomyces,GCF_045209795.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209795.1\,30,NZ_CP109264.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209795.1\GCF_045209795.1.gbk,"Streptomyces hirsutus strain NBC 01646 chromosome, complete genome.",8833381,linear
2803,2803,GCF_024701375.2_NZ_CP113910.1.region008,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024701375.2\index.html,#r1c8,NI-siderophore,griseusin,0.05,Streptomyces,GCF_024701375.2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024701375.2\,23,NZ_CP113910.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024701375.2\GCF_024701375.2.gbk,"Streptomyces sp. KMM 9044 chromosome, complete genome.",7317619,linear
2804,2804,GCF_036607905.1_NZ_CP144555.1.region005,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036607905.1\index.html,#r1c5,NI-siderophore,0,0.0,Streptomyces,GCF_036607905.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036607905.1\,24,NZ_CP144555.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036607905.1\GCF_036607905.1.gbk,"Streptomyces sp. SCSIO 75703 chromosome, complete genome.",6885934,linear
2805,2805,GCF_001267885.1_NZ_CP012382.1.region015,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001267885.1\index.html,#r1c15,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_001267885.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001267885.1\,26,NZ_CP012382.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001267885.1\GCF_001267885.1.gbk,"Streptomyces ambofaciens ATCC 23877 chromosome, complete genome.",8303940,linear
2806,2806,GCF_001632865.1_NZ_CP012949.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001632865.1\index.html,#r1c16,NI-siderophore,grincamycin,0.08,Streptomyces,GCF_001632865.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001632865.1\,26,NZ_CP012949.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001632865.1\GCF_001632865.1.gbk,"Streptomyces ambofaciens strain DSM 40697 chromosome, complete genome.",8137876,linear
2807,2807,GCF_009495655.1_NZ_CP045547.1.region008,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009495655.1\index.html,#r1c8,NI-siderophore,0,0.0,Streptomyces,GCF_009495655.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009495655.1\,31,NZ_CP045547.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009495655.1\GCF_009495655.1.gbk,"Streptomyces sp. SYP-A7193 chromosome, complete genome.",8193527,linear
2808,2808,GCF_045041415.1_NZ_CP108218.1.region006,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041415.1\index.html,#r1c6,NI-siderophore,0,0.0,Streptomyces,GCF_045041415.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041415.1\,30,NZ_CP108218.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041415.1\GCF_045041415.1.gbk,"Streptomyces coelicoflavus strain NBC_00099 chromosome, complete genome.",7979235,linear
2809,2809,GCF_036101175.1_NZ_CP107977.1.region019,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036101175.1\index.html,#r1c19,NI-siderophore,funisamine,0.07,Streptomyces,GCF_036101175.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036101175.1\,27,NZ_CP107977.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036101175.1\GCF_036101175.1.gbk,"Streptomyces coelicoflavus strain NBC_00357 chromosome, complete genome.",7743741,linear
2810,2810,GCF_046628145.1_NZ_CP176874.1.region016,204,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046628145.1\index.html,#r1c16,NI-siderophore,arsono-polyketide,0.12,Streptomyces,GCF_046628145.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046628145.1\,24,NZ_CP176874.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046628145.1\GCF_046628145.1.gbk,"Streptomyces mutabilis strain MPB24 chromosome, complete genome.",8019266,linear
